Unknown command: 'runnserver'. Did you mean runserver?
Type 'manage.py help' for usage.
Unknown command: 'runnserver'. Did you mean runserver?
Type 'manage.py help' for usage.
[31/Mar/2024 04:08:55] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:08:55] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:09:03] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:09:04] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:10:04] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:12:32] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:12:32] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:12:41] "GET /admin/ HTTP/1.0" 404 179
[31/Mar/2024 04:12:45] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:12:49] "GET /search_input/?search_input=a HTTP/1.0" 200 163342
[31/Mar/2024 04:12:54] "GET /search_clear/?search_clear= HTTP/1.0" 200 155
[31/Mar/2024 04:13:00] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:13:49] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:13:49] "GET /static/css/style.css HTTP/1.0" 200 0
[31/Mar/2024 04:13:51] "GET /favicon.ico HTTP/1.0" 404 179
[31/Mar/2024 04:14:20] "GET /search_input?search_input=A HTTP/1.0" 301 0
[31/Mar/2024 04:14:20] "GET /search_input/?search_input=A HTTP/1.0" 200 163342
[31/Mar/2024 04:14:52] "GET /search_input?search_input= HTTP/1.0" 301 0
[31/Mar/2024 04:14:52] "GET /search_input/?search_input= HTTP/1.0" 200 155
[31/Mar/2024 04:15:47] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:15:48] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:19:14] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:19:15] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:19:34] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:19:39] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:22:34] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:22:35] "GET /static/css/style.css HTTP/1.0" 200 0
[31/Mar/2024 04:22:35] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:22:35] "GET /static/css/style.css HTTP/1.0" 200 0
[31/Mar/2024 04:22:36] "GET /favicon.ico HTTP/1.0" 404 179
[31/Mar/2024 04:22:36] "GET /favicon.ico HTTP/1.0" 404 179
[31/Mar/2024 04:22:40] "GET /search_input?search_input=A HTTP/1.0" 301 0
[31/Mar/2024 04:22:40] "GET /search_input/?search_input=A HTTP/1.0" 200 163342
[31/Mar/2024 04:22:40] "GET /search_input?search_input=Ax HTTP/1.0" 301 0
[31/Mar/2024 04:22:40] "GET /search_input/?search_input=Ax HTTP/1.0" 200 2005
[31/Mar/2024 04:22:48] "GET /search_clear?search_clear= HTTP/1.0" 301 0
[31/Mar/2024 04:22:48] "GET /search_clear/?search_clear= HTTP/1.0" 200 155
[31/Mar/2024 04:22:48] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:22:49] "GET /favicon.ico HTTP/1.0" 404 179
[31/Mar/2024 04:22:50] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:22:54] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:24:27] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:24:27] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:24:31] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:24:33] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:24:39] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:24:42] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:04] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:04] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:28:06] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:07] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:09] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:13] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:28:17] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:28:21] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:36] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:38] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:40] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:28:44] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:28:47] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:28:56] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:29:00] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:29:04] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:29:06] "GET / HTTP/1.0" 200 3138
[31/Mar/2024 04:31:08] "GET /.git/config HTTP/1.0" 404 179
[31/Mar/2024 04:33:13] "GET / HTTP/1.0" 200 3173
[31/Mar/2024 04:33:13] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:34:10] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:34:16] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:34:16] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:34:20] "GET / HTTP/1.0" 200 3173
[31/Mar/2024 04:47:51] "GET / HTTP/1.0" 200 3173
[31/Mar/2024 04:47:51] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:50:36] "GET /login/ HTTP/1.0" 200 2897
[31/Mar/2024 04:50:36] "GET /static/css/style.css HTTP/1.0" 304 0
[31/Mar/2024 04:50:46] "GET /about/ HTTP/1.0" 200 2040
[31/Mar/2024 04:50:52] "GET / HTTP/1.0" 200 3173
[31/Mar/2024 04:51:12] "GET /search_input?search_input=z HTTP/1.0" 301 0
[31/Mar/2024 04:51:13] "GET /search_input/?search_input=z HTTP/1.0" 200 134945
